id,name,status,decision_reason,primary_category,description,repository,repository_url,owner,forge_kind,forge_host,homepage,license_spdx,license_class,capabilities,language,created_at,pushed_at,latest_release_at,project_age_days,days_since_push,days_since_release,archived,visibility,has_docs,has_tests,has_ci,pypi_packages,conda_packages,julia_packages,julia_registry_status
optixutils,OptixUtils,included,Reusable DAS-specific utility library explicitly licensed under LGPL-2.1.,data-management,"Reading, writing, and plotting utilities for Optix DAS data backed by PyTables.",uqzzhao/OptixUtils,https://github.com/uqzzhao/OptixUtils,uqzzhao,github,github.com,,LGPL-2.1-only,osi-approved,data-management;io;visualization,Python,2026-01-18T09:40:58Z,2026-01-18T10:44:04Z,,211,211,,False,public,False,False,False,,,,not_applicable
optodas-processor,OptoDAS_processor,included,Reusable DAS-specific processing tool with GPL-3.0 licensing.,processing,Automated processing workflows for ASN OptoDAS datasets.,speleos/OptoDAS_processor,https://github.com/speleos/OptoDAS_processor,speleos,github,github.com,,GPL-3.0-only,osi-approved,io;pipelines;processing,Jupyter Notebook,2026-03-30T16:37:19Z,2026-06-11T15:10:39Z,2026-04-28T14:08:51Z,140,67,111,False,public,False,False,False,,,,not_applicable
pyfocs,pyfocs,watchlist,"OSI-licensed DFOS package, but the modality is distributed temperature sensing rather than DAS.",processing,Processing pipeline for fiber-optic distributed sensing temperature data.,klapo/pyfocs,https://github.com/klapo/pyfocs,klapo,github,github.com,,GPL-3.0-only,osi-approved,calibration;io;processing;temperature-sensing,HTML,2018-09-20T09:06:38Z,2023-05-09T15:51:02Z,2020-11-26T17:40:46Z,2888,1196,2090,False,public,False,True,True,pyfocs,,,not_applicable
pyseafom,pySEAFOM,included,Reusable benchmarking package under the MIT license.,benchmarking,Reproducible performance evaluation for DAS and other fiber-optic interrogators.,SEAFOM-Fiber-Optic-Monitoring-Group/pySEAFOM,https://github.com/SEAFOM-Fiber-Optic-Monitoring-Group/pySEAFOM,SEAFOM-Fiber-Optic-Monitoring-Group,github,github.com,https://seafom-fiber-optic-monitoring-group.github.io/pySEAFOM/,MIT,osi-approved,benchmarking;interrogator-evaluation;visualization,Jupyter Notebook,2025-07-13T10:54:17Z,2026-03-21T16:38:35Z,2026-03-21T16:23:21Z,400,149,149,False,public,True,False,True,pySEAFOM,,,not_applicable
pyseistr,pyseistr,excluded,"A general seismic-processing package applied to DAS among other data, not DAS-specific software.",out-of-scope,Structural denoising and interpolation for multi-channel seismic data.,aaspip/pyseistr,https://github.com/aaspip/pyseistr,aaspip,github,github.com,,MIT,osi-approved,denoising;processing,,,,,,,,,,,,,,,,not_applicable
remi-das,ReMi-DAS,included,Reusable DAS-specific processing toolkit with GPL-3.0 licensing.,processing,Refraction microtremor analysis specialized for DAS recordings.,Shihao-Yuan/ReMi-DAS,https://github.com/Shihao-Yuan/ReMi-DAS,Shihao-Yuan,github,github.com,,GPL-3.0-only,osi-approved,processing;surface-waves;visualization,Jupyter Notebook,2025-07-08T16:17:36Z,2026-01-08T20:34:49Z,,405,221,,False,public,False,False,False,,,,not_applicable
rnn-das,RNN-DAS,included,"Reusable DAS detection application under GPL-3.0, shipped with trained model weights and a runnable interface.",machine-learning-detection,Recurrent-network detection and real-time monitoring of volcano-seismic signals on DAS.,Javier-FernandezCarabantes/RNN-DAS,https://github.com/Javier-FernandezCarabantes/RNN-DAS,Javier-FernandezCarabantes,github,github.com,,GPL-3.0-only,osi-approved,detection;machine-learning;phase-picking;seismology,Jupyter Notebook,2025-01-30T12:10:19Z,2026-07-06T17:01:31Z,2025-09-18T13:58:36Z,564,42,333,False,public,False,False,False,,,,not_applicable
seisbench,SeisBench,excluded,"A general seismological machine-learning toolbox that added DAS support, not DAS-specific software.",out-of-scope,Machine-learning toolbox for seismology with DAS support since v0.12.,seisbench/seisbench,https://github.com/seisbench/seisbench,seisbench,github,github.com,,GPL-3.0-only,osi-approved,machine-learning;phase-picking;seismology,,,,,,,,,,,,,,,,not_applicable
sigrecover,sigrecover,included,"Reusable MATLAB subroutine library under BSD-3-Clause, shipped with runnable examples rather than figure scripts alone.",processing,MATLAB dictionary-learning routines for recovering weak signals from DAS noise.,TCCS-CODES/sigrecover,https://github.com/TCCS-CODES/sigrecover,TCCS-CODES,github,github.com,,BSD-3-Clause,osi-approved,denoising;processing;visualization,MATLAB,2024-07-31T21:02:30Z,2024-07-31T22:50:18Z,,747,747,,False,public,False,False,False,,,,not_applicable
silixa-dts-tools,Silixa_DTS_Tools,watchlist,"The modality is distributed temperature sensing rather than DAS, and the repository publishes only a licence and a README, with no source to review.",data-management,Utilities for working with Silixa distributed temperature sensing systems.,LeemanGeophysicalLLC/Silixa_DTS_Tools,https://github.com/LeemanGeophysicalLLC/Silixa_DTS_Tools,LeemanGeophysicalLLC,github,github.com,,MIT,osi-approved,data-management;io;temperature-sensing,,2025-11-14T14:39:21Z,2025-11-14T14:39:21Z,,276,276,,False,public,False,False,False,,,,not_applicable
simpledas,simpleDAS,included,Reusable DAS reader released by the interrogator vendor under GPL-3.0.,data-management,Vendor-published Python reader for ASN OptoDAS file formats.,ASN-Norway/simpleDAS,https://github.com/ASN-Norway/simpleDAS,ASN-Norway,github,github.com,,GPL-3.0-only,osi-approved,data-management;io,Python,2022-10-05T18:39:24Z,2024-05-28T11:45:04Z,2024-05-28T11:45:04Z,1412,811,811,False,public,True,False,False,,,,not_applicable
spool-processing,SpoolProcessing,included,Reusable DAS processing module with an MIT license and worked examples.,processing,Folder-spool downsampling and statistical processing with on-disk output.,DASDAE/SpoolProcessing,https://github.com/DASDAE/SpoolProcessing,DASDAE,github,github.com,,MIT,osi-approved,data-management;pipelines;processing,Python,2023-06-17T16:00:41Z,2023-10-16T17:18:15Z,,1157,1036,,False,public,False,False,False,,,,not_applicable
swfscdas,swfscDAS,excluded,"Acronym collision. ""DAS"" here is a marine survey Data Acquisition System format, not distributed acoustic sensing.",out-of-scope,R package for processing shipboard marine-mammal survey DAS records.,SWFSC/swfscDAS,https://github.com/SWFSC/swfscDAS,SWFSC,github,github.com,,Apache-2.0,osi-approved,io;processing,,,,,,,,,,,,,,,,not_applicable
swpvpsekminv,SWPVPSEKMInv,excluded,General surface-wave inversion code that mentions DAS in passing; nothing in it is specific to distributed acoustic sensing.,out-of-scope,MATLAB inversion of multimodal surface-wave dispersion curves.,wallacedos/SWPVPSEKMInv,https://github.com/wallacedos/SWPVPSEKMInv,wallacedos,github,github.com,,MIT,osi-approved,inversion;surface-waves,,,,,,,,,,,,,,,,not_applicable
treble-sdk,TrebleSDK,included,"Reusable vendor-published DAS access code with no license file, which grants no reuse rights.",data-management,Vendor code library for reading and streaming Terra15 Treble DAS data.,terra15collab/TrebleSDK,https://github.com/terra15collab/TrebleSDK,terra15collab,github,github.com,,,unlicensed,data-management;io;streaming,Jupyter Notebook,2023-02-23T04:04:25Z,2026-02-12T08:29:05Z,,1271,186,,False,public,False,False,False,,,,not_applicable
unidas,unidas,included,Reusable DAS interoperability package under the MIT license.,interoperability,Compatibility adapters between DAS library data structures.,DASDAE/unidas,https://github.com/DASDAE/unidas,DASDAE,github,github.com,,MIT,osi-approved,data-model;interoperability,Python,2024-12-12T12:42:47Z,2026-05-16T09:17:28Z,2026-05-07T15:23:21Z,613,93,102,False,public,False,True,True,unidas,,,not_applicable
xdas,xdas,included,Reusable DAS-specific framework with GPL-3.0 licensing and package releases.,core-framework,"Labeled arrays, multi-file access, streaming, and scalable processing for DAS data.",xdas-dev/xdas,https://github.com/xdas-dev/xdas,xdas-dev,github,github.com,https://xdas.readthedocs.io,GPL-3.0-only,osi-approved,data-management;data-model;io;processing;streaming;visualization,Python,2022-11-02T12:53:53Z,2026-08-17T11:10:16Z,2026-07-31T06:57:45Z,1384,0,17,False,public,True,True,True,xdas,conda-forge/xdas,,not_applicable
xpick,Xpick,included,"Reusable DAS picking application with GPL-3.0 licensing and an archived release. The PyPI name xpick belongs to an unrelated project, so no registry name is declared.",visualization-annotation,Web application for manual arrival picking across thousands of DAS channels.,xdas-dev/xpick,https://github.com/xdas-dev/xpick,xdas-dev,github,github.com,,GPL-3.0-only,osi-approved,annotation;phase-picking;visualization,Python,2024-01-17T13:41:23Z,2024-11-15T10:34:19Z,2024-09-02T11:38:52Z,943,640,714,False,public,False,False,False,,,,not_applicable
